Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-03-24 00:00:00-04:00,122.81999969482422,122.9000015258789,120.06999969482422,120.08999633789062,116.9671401977539,88530500,0.0,0.0
2021-03-25 00:00:00-04:00,119.54000091552734,121.66000366210938,119.0,120.58999633789062,117.45411682128906,98844700,0.0,0.0
2021-03-26 00:00:00-04:00,120.3499984741211,121.4800033569336,118.91999816894531,121.20999908447266,118.05802154541016,94071200,0.0,0.0
2021-03-29 00:00:00-04:00,121.6500015258789,122.58000183105469,120.7300033569336,121.38999938964844,118.23332977294922,80819200,0.0,0.0
2021-03-30 00:00:00-04:00,120.11000061035156,120.4000015258789,118.86000061035156,119.9000015258789,116.78206634521484,85671900,0.0,0.0
2021-03-31 00:00:00-04:00,121.6500015258789,123.5199966430664,121.1500015258789,122.1500015258789,118.97356414794922,118323800,0.0,0.0
2021-04-01 00:00:00-04:00,123.66000366210938,124.18000030517578,122.48999786376953,123.0,119.80146789550781,75089100,0.0,0.0
2021-04-05 00:00:00-04:00,123.87000274658203,126.16000366210938,123.06999969482422,125.9000015258789,122.62604522705078,88651200,0.0,0.0
2021-04-06 00:00:00-04:00,126.5,127.12999725341797,125.6500015258789,126.20999908447266,122.927978515625,80171300,0.0,0.0
2021-04-07 00:00:00-04:00,125.83000183105469,127.91999816894531,125.13999938964844,127.9000015258789,124.57404327392578,83466700,0.0,0.0
2021-04-08 00:00:00-04:00,128.9499969482422,130.38999938964844,128.52000427246094,130.36000061035156,126.97003936767578,88844600,0.0,0.0
2021-04-09 00:00:00-04:00,129.8000030517578,133.0399932861328,129.47000122070312,133.0,129.5414276123047,106686700,0.0,0.0
2021-04-12 00:00:00-04:00,132.52000427246094,132.85000610351562,130.6300048828125,131.24000549316406,127.82714080810547,91420000,0.0,0.0
2021-04-13 00:00:00-04:00,132.44000244140625,134.66000366210938,131.92999267578125,134.42999267578125,130.93421936035156,91266500,0.0,0.0
2021-04-14 00:00:00-04:00,134.94000244140625,135.0,131.66000366210938,132.02999877929688,128.59661865234375,87222800,0.0,0.0
2021-04-15 00:00:00-04:00,133.82000732421875,135.0,133.63999938964844,134.5,131.00241088867188,89347100,0.0,0.0
2021-04-16 00:00:00-04:00,134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938,130.6712188720703,84922400,0.0,0.0
2021-04-19 00:00:00-04:00,133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062,131.3335723876953,94264200,0.0,0.0
2021-04-20 00:00:00-04:00,135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156,129.64854431152344,94812300,0.0,0.0
2021-04-21 00:00:00-04:00,132.36000061035156,133.75,131.3000030517578,133.5,130.02838134765625,68847100,0.0,0.0
2021-04-22 00:00:00-04:00,133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625,128.5089569091797,84566500,0.0,0.0
2021-04-23 00:00:00-04:00,132.16000366210938,135.1199951171875,132.16000366210938,134.32000732421875,130.8270721435547,78657500,0.0,0.0
2021-04-26 00:00:00-04:00,134.8300018310547,135.05999755859375,133.55999755859375,134.72000122070312,131.21665954589844,66905100,0.0,0.0
2021-04-27 00:00:00-04:00,135.00999450683594,135.41000366210938,134.11000061035156,134.38999938964844,130.89524841308594,66015800,0.0,0.0
2021-04-28 00:00:00-04:00,134.30999755859375,135.02000427246094,133.0800018310547,133.5800018310547,130.10630798339844,107760100,0.0,0.0
2021-04-29 00:00:00-04:00,136.47000122070312,137.07000732421875,132.4499969482422,133.47999572753906,130.0089111328125,151101000,0.0,0.0
